cnty_fips,county,state,Value,theme_range
12073,Leon,Florida,288102,91049.1 - 10098052 (644)
12075,Levy,Florida,39961,36769.1 - 91049 (644)
12077,Liberty,Florida,8365,75 - 9055 (644)
12079,Madison,Florida,18474,9055.1 - 19054 (644)
12081,Manatee,Florida,373853,91049.1 - 10098052 (644)
12083,Marion,Florida,348371,91049.1 - 10098052 (644)
12087,Monroe,Florida,76325,36769.1 - 91049 (644)
12089,Nassau,Florida,80578,36769.1 - 91049 (644)
12091,Okaloosa,Florida,200737,91049.1 - 10098052 (644)
12093,Okeechobee,Florida,40572,36769.1 - 91049 (644)
12095,Orange,Florida,1321194,91049.1 - 10098052 (644)
12097,Osceola,Florida,338619,91049.1 - 10098052 (644)
12101,Pasco,Florida,510593,91049.1 - 10098052 (644)
12103,Pinellas,Florida,957875,91049.1 - 10098052 (644)
12105,Polk,Florida,668671,91049.1 - 10098052 (644)
12107,Putnam,Florida,72766,36769.1 - 91049 (644)
12109,St. Johns,Florida,235503,91049.1 - 10098052 (644)
12113,Santa Rosa,Florida,170442,91049.1 - 10098052 (644)
12115,Sarasota,Florida,412144,91049.1 - 10098052 (644)
12117,Seminole,Florida,455086,91049.1 - 10098052 (644)
12119,Sumter,Florida,120999,91049.1 - 10098052 (644)
12121,Suwannee,Florida,43924,36769.1 - 91049 (644)
12123,Taylor,Florida,22098,19054.1 - 36769 (644)
12125,Union,Florida,15239,9055.1 - 19054 (644)
12127,Volusia,Florida,527634,91049.1 - 10098052 (644)
12129,Wakulla,Florida,31877,19054.1 - 36769 (644)
12131,Walton,Florida,65858,36769.1 - 91049 (644)
12133,Washington,Florida,24566,19054.1 - 36769 (644)
13001,Appling,Georgia,18454,9055.1 - 19054 (644)
13003,Atkinson,Georgia,8265,75 - 9055 (644)
13005,Bacon,Georgia,11228,9055.1 - 19054 (644)
13007,Baker,Georgia,3189,75 - 9055 (644)
13017,Ben Hill,Georgia,17154,9055.1 - 19054 (644)
13019,Berrien,Georgia,19025,9055.1 - 19054 (644)
13025,Brantley,Georgia,18561,9055.1 - 19054 (644)
13027,Brooks,Georgia,15622,9055.1 - 19054 (644)
13029,Bryan,Georgia,35885,19054.1 - 36769 (644)
13037,Calhoun,Georgia,6428,75 - 9055 (644)
